"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 03 14:15:55 CST 2026","Tue Mar 03 14:15:55 CST 2026","85","testcase.test_user","test_user_api","TestUserAPI","","","test_password_reset[TC-AUTH-029_\u7f3a\u5c11\u7167\u7247]","测试密码重置申请接口的各种场景"
"passed","Tue Mar 03 14:13:51 CST 2026","Tue Mar 03 14:13:52 CST 2026","962","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_list[TC-ADMIN-019-5_\u9a8c\u8bc1\u8bc1\u636e\u7167\u7247\u6570\u636e\u7ed3\u6784]","测试管理员获取申诉管理数据"
"failed","Tue Mar 03 14:15:03 CST 2026","Tue Mar 03 14:15:17 CST 2026","13360","testcase.test_evaluation","test_evaluation_api","TestEvaluationAPI","","","test_submit_evaluation[TC-EVAL-006_service_attitude\u4e3a\u7a7a]","测试提交商品评价接口的各种场景"
"passed","Tue Mar 03 14:13:55 CST 2026","Tue Mar 03 14:13:57 CST 2026","1709","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_audit[TC-ADMIN-021_\u9a73\u56de\u7533\u8bc9]","测试管理员审核申诉的各种场景"
"passed","Tue Mar 03 14:15:39 CST 2026","Tue Mar 03 14:15:40 CST 2026","634","testcase.test_product","test_product_api","TestProductAPI","","","test_my_products[TC-PROD-020_\u5df2\u4e0b\u67b6\u5546\u54c1\u7b5b\u9009]","测试获取我发布的商品列表接口"
"passed","Tue Mar 03 14:13:43 CST 2026","Tue Mar 03 14:13:44 CST 2026","284","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_wish_list[TC-WISH-001_\u83b7\u53d6\u672a\u5ba1\u6838\u5fc3\u613f\u5217\u8868]","测试管理员获取心愿管理数据"
"passed","Tue Mar 03 14:15:48 CST 2026","Tue Mar 03 14:15:48 CST 2026","78","testcase.test_user","test_user_api","TestUserAPI","","","test_login[TC-AUTH-012_\u9519\u53c2-\u6307\u5b9a\u5206\u7c7b\u4e0b\u7528\u6237\u4e0d\u5b58\u5728]","测试用户登录接口的各种场景"
"passed","Tue Mar 03 14:15:50 CST 2026","Tue Mar 03 14:15:51 CST 2026","133","testcase.test_user","test_user_api","TestUserAPI","","","test_register[TC-AUTH-019_\u7528\u6237\u540d\u91cd\u590d]","测试用户注册接口的各种场景"
"passed","Tue Mar 03 14:15:57 CST 2026","Tue Mar 03 14:15:57 CST 2026","183","testcase.test_wish","test_wish_api","TestWishAPI","","","test_create_wish[TC-WISH-003_\u63cf\u8ff0\u4e3a\u7a7a]","测试创建心愿接口的各种场景"
"passed","Tue Mar 03 14:13:57 CST 2026","Tue Mar 03 14:13:57 CST 2026","106","testcase.test_admin","test_admin_api","TestAdminAPI","","","test_appeal_audit[TC-ADMIN-022_evaluation_id\u4e3a\u7a7a]","测试管理员审核申诉的各种场景"
